trip_id,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_centroid_latitude,pickup_centroid_longitude,pickup_centroid_location,dropoff_centroid_latitude,dropoff_centroid_longitude,dropoff_centroid_location
e9535cb38d527b0a130a1263c7a862d3d90f492e,b130cba438002c59995778af059b4665aa6602d70a185a311b160621b28a6b4affcb1fa5b859ac8567ab569f924f3ac76c2642c992498a9c1edcd632c34287bf,2023-01-31T21:30:00.000,2023-01-31T21:30:00.000,0,802.6,17031839100,17031839100,32,32,45,0,0,5,50,Cash,Taxi Affiliation Services,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707)
503cb17e90d870293d6574ddc870648a50b3063f,520ceeda508661c3d09a4d7b85c955a6c971d0cca9c10936450315bf07cfc7f0c334d10f0d2be8d8ba66d4887381ef8b8835156c66b214d1ebd25a3578eda23f,2023-01-31T20:00:00.000,2023-01-31T21:00:00.000,3527,56.9,17031980000,,76,,132.25,0,0,70,202.75,Credit Card,Flash Cab,41.97907082,-87.903039661,POINT (-87.9030396611 41.9790708201),,,
da6e174da82bb8f3c0757be57d110c502bbf6220,5027ab588dd646469d3d23662190200f0531c1e6f9a918a96057a91a55bd6bbb9a818916f0bfac144fdfa4525ad4d9132f92f9fc3d02587acaaea66bc7d047a6,2023-01-31T13:45:00.000,2023-01-31T15:00:00.000,4768,59.51,17031980000,17031320600,76,32,142,0,0,7.5,149.5,Cash,Medallion Leasin,41.97907082,-87.903039661,POINT (-87.9030396611 41.9790708201),41.870607372,-87.622172937,POINT (-87.6221729369 41.8706073724)
f57d23fac66499a40aa665b44254c335d1dcb4a3,bda723ff7d3238b616907b89512c7279801247b06581903556082767ad0e277669915c5e7a4b5f994b76aad0559230b2cee05ab633fd1ffbe84e3feed888f70d,2023-01-31T12:30:00.000,2023-01-31T14:15:00.000,6337,64.02,,,4,32,155.25,0,0,0,155.25,Cash,Flash Cab,41.975170943,-87.687515515,POINT (-87.6875155152 41.9751709433),41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841)
e6ab025d073a28026e85b5a9116ae701295e7f34,268102b5c5c93024c9b7ea7629e1d5d4b04cea3388961a00901edd8e30984b050031d1f044929ef2feea52b379a45d3ee21f98b7995af88e6ccc6bbbfb44592f,2023-01-31T12:00:00.000,2023-01-31T14:45:00.000,10440,71.5,17031160300,,16,,190.5,0,0,0,190.5,Cash,Taxi Affiliation Services,41.957264108,-87.730898785,POINT (-87.7308987849 41.9572641084),,,
35cea52663b683750973934b94bbdcc0c7aec6bb,d5a39ffd1a6f7f670ef5196342c025b9ad62aa127b8f567c30e05caf38f73984fd3a51c8bcf472a73f5fceb419c90fcc80c4a536cbc77a3c037285899270a80f,2023-01-31T10:30:00.000,2023-01-31T18:15:00.000,28102,123.57,,,38,35,354,0,0,0,354,Cash,Blue Ribbon Taxi Association,41.812948939,-87.617859676,POINT (-87.6178596758 41.8129489392),41.835117986,-87.618677767,POINT (-87.6186777673 41.8351179863)
97fc77988e32b3d603d9d9510d6dc567b92ce008,ea36181fa21bd00fb42c41dd1022cb7e0e44fb2d07ed726ab70dbc28af920f910691308dad607549d29125a61cb0ea2f727bcc6051d788eb7366e0e353619276,2023-01-31T00:30:00.000,2023-01-31T01:45:00.000,5137,52.68,,,,,132.75,0,0,10.5,143.25,Cash,Chicago Independents,,,,,,
76d3c9debe1248b6f79ba4ef7c0e75519b0529b7,c55c7bdda5396af54fec98ebc976a0cbc1122339bceb8ddfd937b4728cce951449cb7aaba8bd1f2fd353da1b31fd655e28b15109db84326593a1be55f2664912,2023-01-30T21:00:00.000,2023-01-30T22:00:00.000,3540,62.4,17031980000,,76,,145,43.9,0,74,262.9,Credit Card,"Taxicab Insurance Agency, LLC",41.97907082,-87.903039661,POINT (-87.9030396611 41.9790708201),,,
b4f44d4155f7377e883d47255e6cd9b334d515fe,d3e38cf4471f5b65aa0c41a155252c395b7c8593ac6fb5741e0cac5f68831f4f418eebc0f19ea0acd5b398d6b376ec7cbb2dfa9b846af33a9d27146e2a009b4b,2023-01-30T20:15:00.000,2023-01-30T22:00:00.000,5956,107.1,17031980000,,76,,245,0,0,48,293,Cash,5 Star Taxi,41.97907082,-87.903039661,POINT (-87.9030396611 41.9790708201),,,
d84cdd2ec6df978374e833771eddc490d2a5797f,502a000e4ee99c96dc9964f2994671b57b73fd6902e2342ce2c0a2964ccac777078c7f455e928fecd64cc01571af88a107fc0341b5a5b8cf2d5f06212d972cd9,2023-01-30T17:00:00.000,2023-01-30T19:00:00.000,7593,51.76,17031980000,17031839100,76,32,125,20,0,4,149.5,Credit Card,Flash Cab,41.97907082,-87.903039661,POINT (-87.9030396611 41.9790708201),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707)
