trip_id,taxi_id,trip_seconds,trip_miles,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_centroid_latitude,dropoff_centroid_longitude,pickup_community_area,dropoff_community_area,trip_start_timestamp,zip
f8013feb94f853ca98e1b3cedbf8ce256675ce96,eead1e2c21b26570411277cb384d3d8d072fc6da913b0617c841cfd3f6cdf40c508395c589a56d12afd2ec4002948fdeb56cb029227274b760200d7c0e2dcb1c,1320,17.39,41.980264315,-87.913624596,41.899602111,-87.633308037,76,8,2023-03-01,60610
538216a5215deff97dc638303f285435621a68bf,5edf1eaf35b6a28d784ef0bcee132312ebff4aeee7a12ac12f3779f4d0726b772d27f1ca01f2e6c4ace29ae02b49caf23d9c50a3a8321604ec716eb92876161e,910,0.85,41.899602111,-87.633308037,41.899602111,-87.633308037,8,8,2023-03-01,60610
e1afcc38889cbd359096aed1bb62ea8036685154,0602c4dcde4b0fa95e24da18797128a90565512392fffdd4884a10eab50d59e27122f19b53c3ee249986f24a28fff31c8cf5785ddda764e236060e63d85e510e,1882,18.53,41.79259236,-87.769615453,41.96581197,-87.655878786,56,3,2023-03-01,60640
c0da8116133d8c5e5e9d7be142b4428eb4e7e704,182738fe701aff980860adbe8c50444f6edfb7adcf06a9b6091a346d05e6b261f681c1c3a230e5ab50a2c5318d8e09179e9b60184890bafaf434dbb3a1d45110,1196,12.26,41.980264315,-87.913624596,41.947791586,-87.683834942,76,5,2023-03-01,60618
6220ea44af7f30c8e452cc9650f782c0efb2dc3a,b4ac2893286a7c3a55df851a3732ea65d7fb82e1da7a19f728a71651761babfd88544152301073319650be263fd4e1aabc072601e6f452daf22ceb764f8d70d5,1893,13.44,41.878865584,-87.625192142,41.983636307,-87.723583185,32,13,2023-03-01,60659
65fd836113097ac732c5e15aaf3c962eb25abbd6,3d77b9fc21a6484a88ca7f79552d5ea5e712563dfa3051170a20ec433a6eb2146859a352e46b9c6da70766f36166a2b7b68422aaaef89b241e500b7e9b206c55,1260,12.4,41.785998518,-87.750934289,41.884987192,-87.620992913,56,32,2023-03-01,60601
9c7edf2d3a69067344272cdacbd349f460c907c3,5dd81b7df64e4ed1b3f0311105ac891506dd7e1f69220cddc0f69cc697ce874214b0e27efffa5b085958a4be2b1865474eff8ef4a5cda3d6b9e044ed62e073c5,1225,17.17,41.980264315,-87.913624596,41.899602111,-87.633308037,76,8,2023-03-01,60610
501ea43605945fe4f748cf08428215d8d6c7b24a,62b0e1a76bc5636598048753e90fb399f67233dcee0846754e4f8267852232dd9f45dc81a703f1663bea1879a366c79973f8162ed2616bb976c934e75979c5e6,1437,18.09,41.97907082,-87.903039661,41.884987192,-87.620992913,76,32,2023-03-01,60601
990f033fc8ae54eb94343ebddf023270055759b8,b7f7dbb452c0fb980a0f2050a146147c1006fe5f34e3b0ac6f0b589c697eaf969d9fd384fafacac5ef06cbd330795f0b8a983b65b75eafff16a1a29f55d5eb1f,1399,17.77,41.980264315,-87.913624596,41.899602111,-87.633308037,76,8,2023-03-01,60610
e0a7ea2e8c9012a17e7e3fa419ea6a8ea99f57ef,3835dded237bfc6b12d2181ec37148bd8385590f81597f643e6775df78ed87f2624ed43201cf94fdccdad7080da7a78290ff20e3c218834cc073389ebb82fb3c,335,1.24,41.899602111,-87.633308037,41.899602111,-87.633308037,8,8,2023-03-01,60610
